id,label,x,y,cluster,weight<Links>
323,โอเมก้า,-0.137,-0.2271,17,149
324,แบบสอบถาม,-0.7699,0.2777,10,38
325,เด็กโต,-0.527,-0.1988,1,103
326,คอเลสเตอรอล,-0.564,0.1569,8,149
327,มหาลัย,0.2457,-0.2652,2,62
328,สลัด,-0.2223,0.2625,2,68
329,ฮาลาล,1.0339,0.698,18,10
330,โปรโมต,0.9433,-0.4305,19,11
331,ไอโอดีน,-0.056,0.4398,18,75
332,ซื้อประจำ,0.5182,-0.6314,5,48
333,แพคคู่,0.1823,-0.4818,12,9
334,ความคุ้มค่า,-0.0174,0.607,3,114
335,มีลูก,-0.5115,-0.115,1,149
336,ไม่คุ้มค่า,0.2367,-0.9666,5,11
337,เนื้อไก่,-0.1457,0.5093,2,18
338,โรบินสัน,0.4674,-0.4012,10,14
339,อุตสาหกรรม,-0.2299,-0.5245,7,185
340,ชั่งน้ำหนัก,-1.0879,0.7347,1,4
342,iso,-0.2,1.2235,3,12
343,การลดน้ำหนัก,-0.1269,1.0169,3,44
344,ความหวาน,0.3302,0.5072,3,129
345,กระทรวงสาธารณสุข,-0.7461,-0.284,8,103
346,whey formula,0.2009,1.0029,3,41
347,ของแถม,-1.0144,-0.0826,6,59
348,อัลบูมิน,0.1209,0.7097,11,13
349,ไต,-0.6453,0.3306,6,140
350,ชงนม,-0.4503,-0.0762,1,83
351,ท้องผูก,-0.2656,-0.2025,7,170
352,เด็กแรกเกิด,-1.1472,-0.0088,6,57
353,อักเสบ,-0.4898,-0.2903,11,144
354,เลี้ยงลูก,-0.4778,-0.5259,1,135
355,เด็กเล็ก,-0.4414,-0.3415,1,164
356,ผิดปกติ,-0.2213,-0.65,7,125
357,มะพร้าวอ่อน,0.6347,0.3948,2,38
358,บัตเตอร์,0.3457,-0.578,17,26
359,ตั้งท้อง,-0.6875,-0.4358,1,81
360,คลอดลูก,-0.8494,-0.3563,1,79
361,แพ้ท้อง,-0.8984,-0.3876,1,41
362,มีครอบครัว,-0.8772,-0.5066,1,28
363,ชีวิตประจำวัน,-0.9928,-0.0545,6,88
364,นักโภชนาการ,-0.8961,0.0293,6,106
365,ทำกิจกรรม,-0.4813,-0.4214,1,94
366,หายป่วย,-0.7279,-0.621,1,26
367,กลางดึก,-0.7043,-0.3382,1,55
368,วัยเด็ก,-0.9259,-0.0934,1,116
369,วัยเด็กเล็ก,-1.016,-0.509,1,20
370,ประกอบอาหาร,-0.3239,-0.661,1,22
371,ฮอร์โมน,-0.7257,0.0761,6,203
372,คลื่นไส้,-1.0026,-0.3039,1,86
373,เด็กอ่อน,-0.795,-0.9911,1,5
374,วัวนม,-0.382,-0.4507,1,111
375,พระราชดำริ,0.2673,-0.5291,14,81
376,เนยสด,1.0222,0.3186,2,6
377,กินเจ,-0.2036,0.1085,13,94
378,อาหารเจ,0.754,0.364,13,24
379,ตัวสูง,-0.7126,-0.2619,6,114
380,การเจริญเติบโต,-0.9245,-0.0594,6,168
381,แครอท,-0.5833,0.4023,16,49
382,กรดไขมัน,-0.7555,-0.4518,8,77
383,ลูกสุนัข,-0.1723,0.4219,10,23
384,ไข่ดาว,-0.6849,0.3037,1,42
385,สบู่,0.0566,-0.0897,11,69
386,ของเสีย,-0.3419,-0.5943,9,107
387,ซัพพลายเออร์,0.1667,-0.7956,7,71
388,มูส,0.626,1.0609,13,14
389,เอากำไร,1.1709,-0.0696,2,21
390,ฟรอยด์,1.0717,-0.6773,5,15
391,ทำฟอง,0.1825,0.2944,11,28
392,ขนมเค้ก,1.0962,0.1517,2,21
393,ชาไทย,0.9744,0.1369,4,40
394,การบรรจุ,0.0125,-0.738,9,71
395,อาหารว่าง,-0.3878,-0.4631,8,75
396,รีดนม,-0.9193,-0.2514,6,144
397,ซากุระ,0.9806,-0.3342,12,20
398,บุบ,-0.2646,-0.7711,9,64
399,รักษาสุขภาพ,-0.3347,1.1443,3,10
400,ประถม,-0.065,-0.8076,9,71
401,ฟันผุ,0.0806,0.1528,13,121
402,สารเคมี,-0.2531,-0.3574,15,157
403,ไหว้เจ้า,0.7101,0.7418,2,8
404,เพื่อนรุ่นเดียวกัน,-1.6455,0.1098,1,3
405,เหม็นเปรี้ยว,0.1222,-1.1228,9,4
406,เจลลาติน,1.3673,-0.4477,9,5
407,บลูเบอร์รี่,1.5409,0.3603,4,6
408,สยามพารากอน,1.4926,0.2391,4,5
409,มันเทศ,0.5963,1.1122,13,5
410,โฮลวีท,1.2914,0.4189,2,7
411,เป็นหวัด,-0.8271,-0.2536,1,60
412,แน่นท้อง,-0.7949,-0.1951,12,28
413,ไขกระดูก,-1.14,-0.5401,1,9
414,เต้าฮวย,0.3277,0.3369,2,29
415,เด็กผู้ชาย,-0.081,-0.7873,11,32
416,ตัวเตี้ย,-0.6185,-0.5199,16,31
417,สิ่งแปลกปลอม,-0.536,-0.5459,14,42
418,ไมอิลีน,-0.3636,0.964,18,8
419,เสริมสร้างกระดูก,-0.8012,-0.1581,8,113
420,ธัญพืช,-0.1832,-0.0456,10,99
421,ดาร์คช็อกโกแลต,1.0844,-0.0592,5,13
422,มีครรภ์,-0.7436,-0.5191,8,47
423,จุดขาย,-0.1477,-0.6837,7,78
424,โซดา,0.1832,-0.1751,1,66
425,ข้าวสาลี,1.1558,0.3711,2,33
426,แป้งสาลี,0.3416,0.3586,2,65
427,เทน้ำเทท่า,-0.6418,0.5793,1,24
428,สุขอนามัย,-0.6928,-0.6851,16,12
429,การย่อยอาหาร,-0.8302,-0.1272,15,78
430,มีชื่อเสียง,-1.1154,-0.0358,6,57
431,กลาสเฟด,0.3824,-0.3244,10,34
432,นมอัดเม็ด,0.4218,-0.5608,14,61
